variable,type,range,valid_values,missing_values,missing_pop,del
RID,int64,"2, 5296",3709,0,,keep
VISCODE,object,,3709,0,,keep
VISCODE2,object,,3709,0,,keep
USERDATE,object,,3709,0,,keep
EXAMDATE,datetime64[ns],,3709,0,,keep
RECNO,int64,"1, 2",3709,0,,keep
DRAW_DATE,object,,3709,0,,keep
DRAW_TIME,object,,3691,18,,keep
NFL_plasma,float64,"6.4, 408.0",3709,0,,keep
COMMENT,object,,0,3709,,drop
update_stamp,object,,3709,0,,keep
VISIT_MONTH,Int64,"0, 96",3709,0,,keep
METHOD_PLASMA,object,,3709,0,,keep
