variable,type,range,valid_values,missing_values,missing_pop,del
COLPROT,str,,5960,0,,keep
PTID,str,,5960,0,,keep
RID,int64,"1, 10898",5960,0,,keep
VISCODE,str,,5958,2,,keep
EXAMDATE,datetime64[us],,5959,1,,keep
PTSOURCE,float64,"1.0, 2.0",5960,0,,keep
GENDER,int64,"0, 1",5960,0,,keep
PTDOB,datetime64[us],,5960,0,,keep
PTDOBYY,str,,5960,0,,keep
PTHAND,float64,"1.0, 2.0",5931,29,,keep
MARRY,float64,"0.0, 3.0",5916,44,,keep
EDUCATION,float64,"3.0, 20.0",5939,21,,keep
PTWORKHS,float64,"0.0, 1.0",2380,3580,ADNIGO,drop
PTWORK,float64,"1.0, 9.0",1265,4695,"ADNI1, ADNIGO, ADNI2, ADNI3",drop
PTNOTRT,float64,"0.0, 2.0",5922,38,,keep
PTRTYR,float64,"1926.0, 2025.0",4557,1403,,keep
PTHOME,float64,"1.0, 10.0",5931,29,,keep
PTTLANG,float64,"1.0, 2.0",5944,16,,keep
PTPLANG,float64,"1.0, 3.0",5945,15,,keep
PTADBEG,float64,"1985.0, 2010.0",376,5584,"ADNI2, ADNI4, ADNI3",drop
PTCOGBEG,float64,"1980.0, 2025.0",2526,3434,ADNI1,drop
DX,float64,"1980.0, 2025.0",519,5441,"ADNI1, ADNIGO",drop
ETHNICITY,float64,"0.0, 1.0",5901,59,,keep
RACE,float64,"0.0, 5.0",5843,117,,keep
PTIDENT,float64,"1.0, 5.0",1278,4682,"ADNI1, ADNIGO, ADNI2, ADNI3",drop
PTORIENT,float64,"1.0, 4.0",1043,4917,"ADNI1, ADNIGO, ADNI2, ADNI3",drop
PTORIENTOT,float64,"1.0, 11.0",5,5955,"ADNI1, ADNIGO, ADNI2, ADNI3",drop
PTENGSPK,float64,"0.0, 1.0",1277,4683,"ADNI1, ADNIGO, ADNI2, ADNI3",drop
PTNLANG,str,,1277,4683,"ADNI1, ADNIGO, ADNI2, ADNI3",drop
PTENGSPKAGE,float64,"0.0, 46.0",148,5812,"ADNI1, ADNIGO, ADNI2, ADNI3",drop
PTCLANG,float64,"1.0, 3.0",1277,4683,"ADNI1, ADNIGO, ADNI2, ADNI3",drop
PTLANGSP,float64,"1.0, 3.0",1277,4683,"ADNI1, ADNIGO, ADNI2, ADNI3",drop
PTLANGWR,float64,"1.0, 3.0",1277,4683,"ADNI1, ADNIGO, ADNI2, ADNI3",drop
PTSPTIM,float64,"0.0, 100.0",1277,4683,"ADNI1, ADNIGO, ADNI2, ADNI3",drop
PTSPOTTIM,float64,"0.0, 100.0",1277,4683,"ADNI1, ADNIGO, ADNI2, ADNI3",drop
PTLANGPR1,float64,"0.0, 1.0",278,5682,"ADNI1, ADNIGO, ADNI2, ADNI3",drop
